2020/10/14 08:53:42 [emerg] 9752#14372: CreateDirectory() "C:\Repository\My-notes\Nginx/temp/client_body_temp" failed (3: The system cannot find the path specified)
2020/10/14 09:09:15 [error] 2584#1316: *355 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655753773 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655753773", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:09:47 [error] 2584#1316: *369 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655785772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655785772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:10:19 [error] 2584#1316: *371 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655817771 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655817771", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:10:51 [error] 2584#1316: *385 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655849772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655849772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:11:23 [error] 2584#1316: *387 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655881772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655881772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:11:55 [error] 2584#1316: *401 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655913772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655913772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:12:27 [error] 2584#1316: *411 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655945773 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655945773", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:12:59 [error] 2584#1316: *413 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655977773 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655977773", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:13:31 [error] 2584#1316: *426 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656009772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656009772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:14:03 [error] 2584#1316: *428 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656041772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656041772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:14:35 [error] 2584#1316: *442 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656073772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656073772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:15:07 [error] 2584#1316: *444 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656105771 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656105771", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:15:39 [error] 2584#1316: *458 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656137772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656137772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:16:11 [error] 2584#1316: *460 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656169772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656169772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:16:43 [error] 2584#1316: *474 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656201772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656201772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:17:15 [error] 2584#1316: *483 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656233772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656233772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:17:47 [error] 2584#1316: *485 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656265774 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656265774", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:18:19 [error] 2584#1316: *499 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656297772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656297772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:18:51 [error] 2584#1316: *508 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656329771 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656329771", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:19:23 [error] 2584#1316: *517 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656361771 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656361771", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:19:56 [error] 2584#1316: *528 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656393771 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656393771", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:20:29 [error] 2584#1316: *537 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/251/kfknriwj/websocket HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/251/kfknriwj/websocket", host: "localhost"
2020/10/14 09:20:50 [error] 2584#1316: *543 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /__webpack_dev_server__/sockjs.bundle.js HTTP/1.1", upstream: "http://[::1]:4200/__webpack_dev_server__/sockjs.bundle.js", host: "localhost", referrer: "http://localhost/sockjs-node/iframe.html"
2020/10/14 09:21:11 [error] 2584#1316: *555 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656469772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656469772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:21:44 [error] 2584#1316: *568 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656501772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656501772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:22:17 [error] 2584#1316: *579 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/632/3y0bvtpx/websocket HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/632/3y0bvtpx/websocket", host: "localhost"
2020/10/14 09:22:40 [error] 2584#1316: *592 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/563/tqx2omk5/eventsource HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/563/tqx2omk5/eventsource", host: "localhost", referrer: "http://localhost/sockjs-node/iframe.html"
